B,P,C,X,N,Time
5,1,1,0,1,10.588345
5,1,5,0,1,10.530219
5,5,1,0,1,10.563043
5,5,5,0,1,10.591102
10,1,1,0,1,10.494336
10,1,5,0,1,10.521128
10,1,10,0,1,10.586549
10,5,1,0,1,10.537308
10,5,5,0,1,10.604841
10,5,10,0,1,10.676940
10,10,1,0,1,10.612181
10,10,5,0,1,10.662962
10,10,10,0,1,10.734860
5,1,1,200,1,11.294971
5,1,5,200,1,10.509194
5,5,1,200,1,11.340013
5,5,5,200,1,10.549836
10,1,1,200,1,12.294224
10,1,5,200,1,10.614612
10,1,10,200,1,10.552781
10,5,1,200,1,12.345377
10,5,5,200,1,10.711457
10,5,10,200,1,10.586300
10,10,1,200,1,12.356649
10,10,5,200,1,10.784699
10,10,10,200,1,10.654073
5,1,1,400,1,20.652609
5,1,5,400,1,10.488693
5,5,1,400,1,20.775454
5,5,5,400,1,10.677652
10,1,1,400,1,21.769314
10,1,5,400,1,10.819399
10,1,10,400,1,10.551243
10,5,1,400,1,21.607021
10,5,5,400,1,11.061097
10,5,10,400,1,10.602369
10,10,1,400,1,21.906879
10,10,5,400,1,11.112394
10,10,10,400,1,10.677874
